Título da checagem,Data da checagem,Natureza da notícia,Candidato(s) favorecidos(s) pela notícia falsa,Agência,Link
Golpe promete liberação de valores judiciais no Tribunal do Rio Grande do Sul,8/1/2022,Falsa,indefinido,CNJ,https://www.cnj.jus.br/golpe-promete-liberacao-de-valores-judiciais-no-tribunal-do-rio-grande-do-sul/
Vídeo mostra simulação de fraude em urna diferente da usada no Brasil,8/1/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/video-mostra-simulacao-de-fraude-em-urna-diferente-da-usada-no-brasil/
É #FAKE que mulher que fala sobre urnas em vídeo é funcionária do TSE,8/19/2022,Falsa,Jair Bolsonaro,Fato ou Fake,https://g1.globo.com/fato-ou-fake/eleicoes/noticia/2022/08/19/e-fake-que-mulher-que-fala-sobre-urnas-em-video-e-funcionaria-do-tse.ghtml
É falso que QR Code no título de eleitor conta voto para Lula automaticamente,8/19/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-qr-code-no-titulo-de-eleitor-conta-voto-para-lula-automaticamente/
Voto não é perdido ao apertar ‘confirma’ na urna durante alerta para conferir o voto,9/28/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/voto-nao-e-perdido-ao-apertar-confirma-na-urna-durante-alerta-para-conferir-o-voto/
É falso que urnas eletrônicas estão sendo preparadas para fraude,9/29/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/urnas-eletronicas-sendo-preparadas-fraude-sindicato-pt.html
Boletins de urna mostrados em vídeo não são de MG nem provam fraude,10/10/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/boletins-de-urna-mostrados-em-video-nao-sao-de-mg-nem-provam-fraude/
É falso que aplicativo do TSE não permita denúncias contra o PT,10/28/2022,Falsa,Jair Bolsonaro,Folha de S. Paulo,https://www1.folha.uol.com.br/poder/2022/10/e-falso-que-aplicativo-do-tse-nao-permita-denuncias-contra-o-pt.shtml
Artigo 142 não prevê intervenção militar nem federal; entenda,11/9/2022,Falsa,Jair Bolsonaro,Folha de S. Paulo,https://www1.folha.uol.com.br/poder/2022/11/artigo-142-nao-preve-intervencao-militar-nem-federal-entenda.shtml
5 fake news sobre vacina que previne HPV,11/19/2022,Falsa,indefinido,Boatos.org,https://www.boatos.org/saude/5-fake-news-sobre-a-vacina-que-previne-o-hpv.html
